id,gender,partner,pid,int_corr,samerace,age,field,field_cd,race,imprace,imprelig,income,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr,sinc,intel,fun,amb,shar,like,prob,match_es,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,dec,dec_o,match
1,0,1,11,0.14,0,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,6.00,9.00,7.00,7.00,6.00,5.00,7.00,6.00,4.00,27,2,35.00,20.00,20.00,20.00,0.00,5.00,6.00,8.00,8.00,8.00,8.00,6.00,7.00,4.00,2,1,0,0
1,0,2,12,0.54,0,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,7.00,8.00,7.00,8.00,5.00,6.00,7.00,5.00,4.00,22,2,60.00,0.00,0.00,40.00,0.00,0.00,7.00,8.00,10.00,7.00,7.00,5.00,8.00,4.00,2,1,0,0
1,0,3,13,0.16,1,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,5.00,8.00,9.00,8.00,5.00,7.00,7.00,,4.00,22,4,19.00,18.00,19.00,18.00,14.00,12.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,1,1,1,1
1,0,4,14,0.61,0,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,7.00,6.00,8.00,7.00,6.00,8.00,7.00,6.00,4.00,23,2,30.00,5.00,15.00,40.00,5.00,5.00,7.00,8.00,9.00,8.00,9.00,8.00,7.00,7.00,2,1,1,1
1,0,5,15,0.21,0,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,5.00,6.00,7.00,7.00,6.00,6.00,6.00,6.00,4.00,24,3,30.00,10.00,20.00,10.00,10.00,20.00,8.00,7.00,9.00,6.00,9.00,7.00,8.00,6.00,2,1,1,1
1,0,6,16,0.25,0,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4.00,9.00,7.00,4.00,6.00,4.00,6.00,5.00,4.00,25,2,50.00,0.00,30.00,10.00,0.00,10.00,7.00,7.00,8.00,8.00,7.00,7.00,7.00,6.00,2,0,1,0
1,0,7,17,0.34,0,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,7.00,6.00,7.00,4.00,6.00,7.00,6.00,5.00,4.00,30,2,35.00,15.00,25.00,10.00,5.00,10.00,3.00,6.00,7.00,5.00,8.00,7.00,2.00,1.00,2,1,0,0
1,0,8,18,0.50,0,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4.00,9.00,7.00,6.00,5.00,6.00,6.00,7.00,4.00,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6.00,7.00,5.00,6.00,8.00,6.00,7.00,5.00,2,0,0,0
1,0,9,19,0.28,0,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,7.00,6.00,8.00,9.00,8.00,8.00,7.00,7.00,4.00,28,2,50.00,0.00,25.00,10.00,0.00,15.00,7.00,7.00,8.00,8.00,8.00,9.00,6.50,8.00,2,1,1,1
1,0,10,20,-0.36,0,21,Law,1.00,4,2,4,"69,487.00",lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,5.00,6.00,6.00,8.00,10.00,8.00,6.00,6.00,4.00,24,2,100.00,0.00,0.00,0.00,0.00,0.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,2,1,0,0
2,0,1,11,0.29,1,24,law,1.00,2,2,5,"65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,5.00,7.00,8.00,4.00,6.00,3.00,6.00,4.00,3.00,27,2,35.00,20.00,20.00,20.00,0.00,5.00,8.00,7.00,6.00,9.00,7.00,4.00,7.00,2.00,2,0,0,0
2,0,2,12,0.18,1,24,law,1.00,2,2,5,"65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,8.00,5.00,6.00,6.00,9.00,6.00,7.00,3.00,3.00,22,2,60.00,0.00,0.00,40.00,0.00,0.00,7.00,6.00,10.00,6.00,6.00,5.00,8.00,4.00,2,0,0,0
2,0,3,13,0.10,0,24,law,1.00,2,2,5,"65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,5.00,8.00,9.00,6.00,3.00,4.00,6.00,7.00,3.00,22,4,19.00,18.00,19.00,18.00,14.00,12.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,2,0,1,0
2,0,4,14,-0.21,1,24,law,1.00,2,2,5,"65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,7.00,9.00,7.00,6.00,5.00,7.00,7.00,8.00,3.00,23,2,30.00,5.00,15.00,40.00,5.00,5.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,7.00,2,1,1,1
2,0,5,15,0.32,0,24,law,1.00,2,2,5,"65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,6.00,8.00,7.00,9.00,7.00,8.00,8.00,6.00,3.00,24,3,30.00,10.00,20.00,10.00,10.00,20.00,10.00,10.00,10.00,10.00,7.00,8.00,10.00,1.00,1,0,1,0
